PRODUCT_ID,TITLE,BULLET_POINTS,DESCRIPTION,PRODUCT_TYPE_ID,PRODUCT_LENGTH
2749801,"Ripening Baby Girls Baby Girl's Sequined & Tissue Net Fit & Flare Ruffled Knee Length Dress (Red, 5-6 Years)","[An essential for the Sunday brunch, birthday party ensemble with silver ballerinas.,Beautiful Gown For All Season & Occasions,Please See Size Chart Before Order,Disclaimer:- The images represent actual product though color of the image and product may slightly differ.,Type-Fit and Flare Dress Frock]",The most wish little combination of classy white and resplendent gold is right here in this satin dress for baby girl. White kids party wear satin frock made with net silk has stunning golden sequins this elegant partyy wear silk frock for baby girl. this perfect designer wear which comes with a complementing headband for birthdays and weddings to dress girls between 12 months to 10 years of age.,2738,984.2519675
207826,"Bier Tasting Buch: Dein persönliches Verkostungsbuch zum selber ausfüllen ♦ für über 100 verschiedene Bier Sorten, Craft Beer, Pils, Pale Ale ... Format ♦ Motiv: Bier Sonnenuntergang",,,77,600.0
13104,Voyage Round my Father,,,113,700.0
2683538,AUTONEST Car Aluminum Interior Door Lock Knob Pins | Car Security Door Lock Pins |Interior Door Lock Knob Pull Pins (Red) (Pack of 2) Compatible with Toyota Qualis,"[Protective: Car door lock knob can prevent your car from scratch, very helpful and practical as well.,Easy Install: Screw on door lock knob is perfect replacement for the car door pins, directly place into the right position of the car door lock.,Styling: It Is A Nice Choice For Decorate And Styling Your Beloved Car,Simple Design: Exquisite craftsmanship and simple design for perfect match. A pair of car interior door lock pin covers for maximum safety and good decor effect,Aluminium Alloy Material: Car Door Lock Pin Covers is made of premium aluminium alloy, it is of strong strength and high quality for long service time.]",AUTONEST Car Aluminum Interior Door Lock Knob Pins | Car Security Door Lock Pins |Interior Door Lock Knob Pull Pins (Red) (Pack of 2) Compatible With Toyota Qualis,10348,196.8503935
298923,"Souvenir of the Visit of Colonel Mr. Theodore Roosevelt, Ex-President of the United States of America, to Chile (Classic Reprint)",,,6112,598.424
2800022,Ruzim Mumbai Indians Printed Mens Round Neck Half Sleeve t Shirts(White) (Small),"[compatible Mumbai indians riders printed t shirt,trending t shirt for boys,daily use t shirt]","Nice well-made T-shirt, Exclusively for your Loved ones, Lightweight & Breathable, casual wear & Home Washable with Exclusive designs and Durable materials that feels light and Comfortable. free-moving material which adjust according to your Body and creates an astoundingly easy-going experience. Made with the sense of the latest fashion trends. Made for long-term wear.",2879,787.401574
2588183,FLAX Printed Soft Cotton Boy's & Girl's Drawer Unisex Inner/Underwear Briefs (Pack of 12) (9-12 Months),"[Multi Colored Printed Drawer,Unisex Kids can Wear it,Breathable and Flexible,Pack Of 12 Pcs]",Ensure comfort with style for your little Baby Boy's with this soft and comfortable Printed Inner Wear from FLAX available on Amazon.,2708,669.2913379
2213275,"HRIM ENTERPRISE Golden Fashion Hand Made Headdress Wedding Crown Pearl Floral Hair Accessories Crystals Bridal Wedding Headband, Hair Vine and Headpiece for Girls and Women","[Plated with High Quality Polish for Long Lasting Finish,It will be suitable for your hair styling at wedding, dancing party and other special occasions.,Nickel free and Lead free as per International Standards that makes it very skin friendly. The plating is non-allergic and safe for all environments,Package Content: Flexible And Foldable Wedding Tiara With Two Hair Pins,Color: Golden Various Length: 45cm/ 5m/ 1m Nice for bride up do accessories and will add glamour, elegance to your wedding hairstyles! This stylish crystal hairvine will add a touch of ethereal fairytale sparkle to your wedding day look. Suitable for most bridal styles and wedding themes. Spakle Rhinestones Jewlery Diamond Pearls head band, a pretty wonderful gift for yourself or your loved one.]","✔✔ HRIM ENTERPRISE ✔✔ Perfect for weddings, proms, parties or other special occasions Also a wonderful gift for yourself or your loved one. Nice gift for friends, families, colleagues and classmates. It features with exquisite crafts and antique color. Description This item is manufactured with beautiful metal flower, pearl and chain design. It features with exquisite crafts and antique color. It will be suitable for your hair styling at wedding, dancing party and other special occasions. Nice gift for friends, families, colleagues and classmates. Features - Color: Multicolor. - Material: Zinc Alloy. - Size: Approx. - High quality with refined crafts for durable and long-lasting use. - Most fashion-forward and gorgeous designs with impeccable craftsmanship. - Lightweight for portable headpieces wearing. Harmless with smooth round tips. - Retro and elegant style makes it perfect for any hair styling. Make your hair look more graceful. ABOUT THE ITEM This bridal hair vine comes in rose gold, silver and gold with ivory or white pearls to match your gown elegantly. This beautiful gold hair vine will add a lovely finishing touch to your romantic blush wedding gown. Swarovski pearls and clear crystals are set on a bendable wire. This beautiful hair pin can be worn many ways",3359,1771.6535415
2970877,Park Avenue Medium Blue Shirt (Size: 39)-PMSK14261-B5,"[Fabric: Cotton,Pattern: Checkered,Wash Care: Machine Wash]",,2851,1511.808
1992318,Chui Muii Duffle Bag C (Magenta),"[Durable and Fashionably Indian,Premium Look. Indo Western Fusion,Handcrafted bag made by keeping in mind the latest fashion.,Large Capacity,Spot Cleaning only.]","This handbags acts as the perfect accessory to complete your look Providing high__quality material, very attractive design which makes it elegant and stylish.The bag comes with spacious compartments that are enough to keep your belongings. Carrying this bag at College or Office will surely make you go popular.The wallet features two main compartments with an inner compartment with zipper closure to store your cash and coins. The compartments have adequate space for your essentials like cosmetics, cash, coins, cell phone and other miscellaneous stuff. The handbag has an inner lining along the compartments and also comes with an inner zip compartment to store your id and other important cards.",3426,2047.2440924
2004238,MEENAZ Combo Traditional Temple One Gram Gold Meenakari Copper Brass Wati Mangal sutra Pendant Tanmaniya Black Beads Simple Long Short Mangalsutra Combo Set For Women girls chain -MC-M22,"[Trend Designs- nallapusalu Maharashtian south indian StYlish fancy party wear Designer golden Temple Jewellery, American diamond bracelets South Indian Traditional Jewelry,Maharashtrian jewellery ,Copper handmade 1 gram gold Necklace/Juelry/Pendant Set/Pendent Set/jwelry Set Jewellery for Women girls,combo vati mangal sutra for women mangalsutra jewellery's latest new design golden stylish traditional set one Gram Gold Meenakari Long Mangalsutra Tanmaniya nallapusalu Black Beads Mangal For Women Latest Design long chain short silver diamond,Exclusive Gold Plated Designer Traditional Necklace Set Stylish Latest Jhumka Earrings with sets Trend Designs- Temple Jewellery South Indian Jewelry Women Polki Ethnic necklaces earing Silver Ear rings,Mangalsutra Pendant Necklace with Chain for Women golden pendant mangal sutra for womens girls pendent,Handcrafted to Perfection For exact Like Original Look Jewellery 24 inches lenghth, 30 inches , 18 inch mangalsutra for women all mix approximately]",Meenaz is a top brand in fashion jewellery has wide range of set for women latest design bracelet girls stylish necklace ear rings earrings ring traditional bangles mangal sutra earings bridal sets wedding jwellary womens men gold kundans couple lovers silver pearl flower haldi plated jewelry chain oxidised earing earring mangalsutra party wear jhumkas anklets nose without piercing artificial choker modern coin jwellery woman bracelets maang tikka payal hair bands mang finger one gram jhumka pin box neklesses jewellery's jhumki chains dulhan antique kamarband anklet temple american diamond girlfriend chandbali lockets long platinum mangtika 1 brooch cuff links mens neckless nath pendants black metal silk thread kada pins jumkas man band kids bahubali with breslet rani haar toe south indian pendant studs valentine diwali gifts akshaya tritriya offers rajasthani kundan pendent waist beads cufflinks bangle couples love boys tika pure stone terracotta tiara branded necklaces matha patti bangals stud combo floral tassel ornaments ladies kangan broches hoop simple braslet fancy hangings locket nacklace cuffs adjustable ruby coins rajputi chuda meenakari chokers saree oxidized braslets cz brooches kamar bandh lehenga 1gram jewellary haram bajuband weddings feather white belly gota tie look jawellary 1gm punjabi braclets afghani eyer imitation pink nekles padmavati hairband peacock nallapusalu jumkis jumka and many more items please go through our catalogue,3364,3000.0
703162,Die Spinnstube ein Volksbuch für das Jahr 1864: 19. Jahrgang,,,99,583.0
1045914,DEWALT DW8854 XP Cutoff Wheel 7-Inch X .045-Inch X 7/8-Inch,,,9052,700.0
1883733,Arestech Shark Fin Shape Ice Cube Tray Ice Mold,"[Material: food grade silicone,Temperature range: -40 to +230 degree centigrade,Total mold size: 13cm*8cm*4cm,Enjoy the fun of making the ice shark fin float on your drinks,Package: one mold only]",Material: food grade silicone.&nbsp;&nbsp;Temperature range: -40 to +230 degree centigrade.&nbsp;&nbsp;Total mold size: 13cm*8cm*4cm.&nbsp;&nbsp;Enjoy the fun of making the ice shark fin float on your drinks.,1467,590.5511805
821826,Shostakovich: Piano Works 1,,,744,561.0
497139,Cuál es tu potencial? /What is Your Potential: La Energia Del Movimiento /The Energy of Movement: What's Your Potential (Stem Spanish Titles),,,59,730.0
1124700,"Tervis MLB Boston Red Sox Tumbler with RD1 Travel Lid, 24 oz, Clear","[Keeps cold drinks cold,Co-polyester BPA and Melamine free construction,Freezer & dishwasher safe,Unconditional Lifetime Guarantee,Made in America]",,1424,400.0
2030853,"CARLOCA iPhone 12 Mini Case,Lion Yoga Soulkeeper iPhone 12 Mini Cases for Girls Boys,Graphic Design Shockproof Anti-Scratch Hard Back Case for Apple iPhone 12 Mini","[Advanced Aechnology: new design case with Hard back cover and Using the world's top printing technology. brings luxury and beauty to your iPhone 12 Mini Case pattern brighter, clearer and more vivid.,Top Glass: Hard back sheet has excellent characteristics such as abrasion resistance, scratch resistance and impact resistance. Make your iPhone 12 Mini Case have a high-end texture while also having strong protection,Safe Design: The high quality TPU soft case covers all edges of the phone. The textures on the side offer a secure grip and a slim profile. Protect your iPhone 12 Mini from dust, dirt and scratches.,Easy to Use: the Bumper is made of TPU material which is good for absorbing shock and protecting the iPhone 12 Mini . It is easy to install and remove and won't scratch your phone. Precise hole positions allow you to smoothly press various phone buttons.,Customer Service: We provide every customer with 80 days money back warranty, free return and replacement. Every question will be responded within 24 hours, just feel free to send us an email.]","<p><b>Creativity Design Style basic case for iPhone 12 Mini and High Quality Pattern </p></b> <p> </p> <p><b>High quality </p></b> <p>Made of a premium TPU material at side , 9H HD Clear Glass hardback , polycarbonate panel and a scratch-resistant coating on the back cover, Anti-bump, back four sides design non-slip, ripple around the non-slip design, dust-proof</p> <p> </p> <p><b>Ultra-thin & Slim </p></b> <p>Ensuring you experience an original touch of the phone dimensions but access all buttons and ports </p> <p> </p> <p><b>Reliable Quality Warranty: </p></b> <p>80 day money back warranty, all question will be responded in 24 hours.</p> <p> </p> <p><b>What's in package </p></b> <p>1*Tempered Glass Case for new iPhone 12 Mini in 5.4 inch </p>",12057,610.235
2654081,Wegather Bike Body Cover for Yamaha M15 Tracer 2021 Water Resistance & UV Protection 190 T Fabric ( Grey Patta ),"[Especially Desinged for Yamaha M15 Tracer 2021,Protects the vehicle against weather,scrapes,scratches & sun damage.,Safety buckles which can be fastened for maximum coverage and stability against strong winds.,Protects the vehicle against weather,scrapes,scratches & sun damage.Protects the internal engine parts from rust and dust.,Covers with both left and right mirror pockets.]","Wegather Two wheeler cover for bikes and scooties provides enhanced shielding to your vehicle against Moisture, Dirt, Dust, Weather Extremes, Fading Away From Sunlight, Scratching. Suitable for all weather conditions, easy to handle. It also protects the internal engine parts from rust and dust. Protect The Internal Engine Parts From Dust. It guards the painted or leather from UV rays. The product can be used for both indoor and outdoor covering of two wheelers.Bike body covers are associated with many important features for better protection of the two wheeler vehicle. It can be used for both indoor and outdoor covering of two wheelers.",7682,1102.3622036
2950822,Cute F hionable Modern Cloud Pattern Voile Curtain Window Door Wall Living Room Decor 100x250cm Blue,"[Material: High quality voile curtain,Material: High quality voile curtain,Pattern: White Cloud Print,Applicable Window Type: Flat Window,Size: Approx. 39.37x98.43inch/ 100x250cm,Color: the picture show]","<p><b>Description:</b></p><p>Material: High quality voile curtain<br>Pattern: White Cloud Print<br>Applicable Window Type: Flat Window<br>Size: Approx. 39.37x98.43inch/ 100x250cm<br>Color: the picture show<br>Style: Modern, Romatic and Cute<br>Ready made, with hanging hooks<br>Fhionable design, brand new and beautiful color<br>Adding style to any window or doorway, making your home exceedingly fcinating and charming, creating a comfortable and romantic atmosphere for your family<br>It is a good choice for you to use this product a door curtain, window curtain or a background for a shop window display<br>Can be used in home, hotel, cafe and other places<br>Whing Care: Put on some Ordinary detergent and the curtain soaking in cold water, be careful not to long soaking and scrubbing, or pattern will be fall off. Do not bleach.To Tile to dry.<br></p><p><b>Package Includes:</b></p><p>1x Window Curtain Voile<br></p><p><b>Note:</b></p><p>Just a layer of voile, not including the thick shading cloth<br>You may need two pieces<br>Due to the light and screen difference,the item&#39;s color may be slightly different from the pictures<br>Plee allow 1-5cm devition due to the hemming.<br></p>",1650,1000.0
239103,"Olympic Competitors for Uzbekistan: Olympic Alpine Skiers of Uzbekistan, Olympic Athletes of Uzbekistan, Olympic Boxers of Uzbekistan",,,1,744.093
2551754,"Storage Basket,Lawn cart,Collapsible Large Laundry Hamper with Handles for Home Office 17.32""X13.58""",,,5983,590.5511805
525079,Making Money Out of Thin Air: My Life as a High Time Pilot,,,1,850.0
821336,Schlage Lock F40PLY605X625 Plymouth Privacy Lockset,"[Product is manufactured in Mexico,Product is a replacement-range-knobs,Country of Origin: Mexico]","Box pack. Bedroom bathroom. For interior doors. Exterior knob locked by inside push button. Unlocked by turning knob from interior or a narrow tool from exterior. Dual option latch includes 1 4'' round corner and 1'' circular drive in latch, adjustable for 2 3 8'' or 2 3 4'' backsets. Strike: 1 4'' round corner full lip strike. Grade 2 construction. Lifetime mechanical warranty. 10 year finish warranty. <br>No. F40PLY605: Bright brass (605) finish <br>No. F40PLY605X625: Bright brass (605) X bright chrome (625) finish",10200,1800.0
1150478,Large Steel Ring Mandrel Graduated Sizer 16-24 Measuring Big Rings Jumbo Sizes (LZ 2.8 FRE),,"FEATURES - SPECIFICATIONS: - Case Hardened Steel - Smooth Polished Finish - Graduated Size Range: 16-24 US Sizes Laser Engraved - Size Increments: 1/4 Size Markings - Overall Length: 8-1/2"" - 216mm - Working Area Length: 5-3/16"" - 132mm - Diameter Small End Work Area: 61/64"" - 24.2mm - Diameter Bottom End Work Area: 1-1/4"" - 31.7mm - Weight: 2.5Lb - 1.15kg Item is Brand New Never Used.;",1024,400.0
1154473,Toddler Dinosaur House Slippers Warm Home Shoes Fuzzy Household Slippers Green,"[CUTE DINOSAUR: Cute and vibrant dinosaur slippers bring warmth and happiness to your toddler, soft and squishy. Provide extreme comfort throughout the fall and winter season,COZY: Cute house slipper made of high-quality soft plush, warm fluffy lining presses the softest of kisses on their little feet, soft memory foam insole gives the toddler soft support, slip on design for easy on and off. Thick bottom good for both indoor and outdoor use,ANTI-SLIP: Non-slip groove on the soles have a good grip, keep from slipping when they are playing on tile and hardwood floors,,BEST GIFT: Perfect for Baptism, Halloween, Christmas gift, bedroom, living room, study, garden, street, park or just casual,GUARANTEE:24-Hour Customer Support.If you have any problem, please feel free to contact us]","<br>Why our new design slipper sock shoes are a perfect gift for your little ones❓❓❓ <br>💯 <br>Exquisite Dinosaur Design--3D dinosaur eyes and mouth make slippers more vivid and cute, the mouth can be flipped, the simple design can make the baby happy all day. <br>Thick Non-Slip Soles - thicker soles can be used indoors and outdoors, ideal for walking around the house, warming the feet of the child <br>Ultra-Soft Plush - Made of high-quality plush, soft and extremely friendly to the baby, whether it is wearing socks or not, it will provide ultra warmth and comfort <br> <br>GUARANTEE: <br> <br>24-Hour Customer Support.We focus on the quality of our products and try us best to give you a nice shopping experience. <br> <br>We would be so grateful if we receive customers' messages about our products to optimize our products or sizes. If you have any size or product problems, please feel free to contact us.",3158,1150.0
1030642,Regina 5ZRP/118KYA021 Drive Chain Conversion Kit (Sprocket 520 Kit Yamaha Yzf1000 2007),"[Front sprocket, rear sprocket and a precut chain make a convenient kit for the dealer or consumer,Sprockets are made of high-quality steel and have OEM gearing,Chain is Regina's high-performance Z-ring series with gold outer plates and Z44 sealing rings, which dramatically improves performance and wear life; includes rivet-type master links,520 conversion kits include all the above, but the rear sprocket is aluminum rather than steel, which in some applications reduces the chain + sprocket weight by as much as 2.5 lb.,See Regina Chain Specifications chart for chain rating information]",Regina Chain 520 ZRD Chain and Sprocket Kit 520 Conversion Kit 5ZRP/118KYA021,7254,600.0
1282009,Wordless Love Rhodium Plated Brass Full Prong Cubic Zirconia Women's Wedding Teardrop Pierced Earrings,"[Made of crafted environmental friendly AAA cubic zirconia this jewelry shines with grace and beauty. You never have to worry about missing it and the metal surface is of high polished finish won't change color or get dark.,One Pce earrings Weight:3.86g. Length:4.0CM (1.57""). Width:1.0CM (0.39""). CZ Color:Blue,SAFE ON SENSITIVE SKIN:Women's Wedding earrings jewelry using post with friction back and plating,lead and nickel free,You'll get a brilliant and sparkling look,protect your ear from allergies,you are safe.Brass metal is much smoother and will protect your skin from rubbing,you wearing it.Also,jewelry made by brass metal has light weight.,Perfect Gift:Shining like diamond women drop earrings jewelry with a FREE gift box,you can sent it directly to your mother,sister,mom,grandmother,girls,girlfriend,daughter,wife and family members as a Bridal Wedding/Engagement/Mothers-day/Valentines-day/Meeting/Party/Anniversary/Graduation/Christmas/Birthday/Prom/Thanksgiving-day gift.You will be surprised get a real value for your money when you get it.,Full Money Back and Lifetime Guarantee: 100% risk free,31 days money back guarantee if not delighted.And we are committed to providing every customer with the highest standard of merchandise and customer service.Your satisfaction is our motivation.]","<b>Earrings Information</b><p> Gorgeous and stunning, these rhodium plated brass bridal earrings are made with marvelous cubic zirconium crystals. They would look fabulous for your wedding, prom and any special occasion. The earrings will definitely make you feel radiant!</p><b> Brand Introduction</b><p>Wordless Love jewelry all products can be SGS test product quality.Wordless Love is our US registered trademark,we are the only seller's brand.</p><b>Handling Time </b><p> Arrange the shippment within 2 days. It usually takes 10-20 working days to arrive in US.(non-FBA)</p> <b>Return Policy</b><p> 30-day money back guarantee your original shipping and handling charges. Contact us for a detailed return policy and shipping instructions.",9566,319.0
2365318,"Astrometric Plastic Pop Chef Fruit Cutter Cake Cookie Vegetable Shape Slicer Mold Decorating Tools 6- Pieces Set,Multi-Color(1 Pack)","[The kit includes a 3 piece Pop Chef tool, bamboo skewers and 6 fun shapes (one circle, heart, flower, butterfly, sun and one star),Creative Kitchen Pop Chef Tools Plastic Fruit Shape Cutter Slicer Food Maker for Festival Party (Circle & Heart & Flower & Butterfly & Sun & Star Shape),Material :- Plastic,Size: 24 x 21.5 x 6 cm,Package Contain :- 1 * Pop Chef Kit,Set includes the pop chef, 6 shapes (circle, heart, flower, butterfly, sun and star)]","<p>Pop Chef - Just Push, Pop And Create Quickly and easily make fruit, cheese, meat or vegetables into fun shapes with the As Seen on TV Pop Chef. * This kit includes a 3-piece Pop Chef tool, bamboo skewers and six fun shapes. * The shapes in this Pop Chef fruit cutter kit include one circle, one heart, one flower, one butterfly, one sun and one star. * It is easy to use: Just push, pop and create! No knife or cookie cutters are needed. * It is easy to clean and is ideal for making food for parties. * Made of plastic and bamboo Pop Arts Fruit Shaper, Model # Pop Chef Fruit Cutter Create professional-looking, mouth-watering fruit arrangements, sandwiches, cheese plates, vegetable platters, cake decorations and more with the amazing pop chef.</p>",1430,787.401574
115054,US Military Strategy and the Cold War Endgame,,,116,600.0
2260700,Marks & Spencer Women's Polyester A-Line Knee-Length Casual Dress (T42_4555_Navy Mix_8),"[Dresses,Polyester]",,2749,393.7
263251,The Heir of Linne. [A Novel.],,,123,968.502
803966,"Kathe Kruse 38293 Sleeping Bag Mushroom, Red/Green",,,6,19.68503935
1707244,"Voyage Stylish Oval Sunglasses for Women (3729MG2912, Blue)","[Frame Material: Metal,Frame Color: Golden,Lens Material: Plastic,Lens Color: Blue,Type: Oval | Ideal for Women]",,2949,590.55
2956964,Mechkeeb Handcraft Artisan Keycap Iceberg Volcano Snow Sakura Mountain Resin Mountain Shine Through Keycaps for Cherry MX Mechanical Gaming Keyboard (Tianchi 1 PCS),"[There is only one personalized keycap with SA R3 height in the package. They are all about the same height, about 12.4mm, which is generally used on the ESC key position, which can pass through light. It is an artwork keycap that combines all the mountains.,The keycap is made of resin by hand.It can let some light shine through as the image shown.,It can be used for all Cherry MX Gateron MX Kailh MX and all other MX switches keyboard.,If you want it look better, please check the height of the keycap. If this keycap is the same height or little higher than yours, it will look better.,We will pack the keycaps in our own packaging, hoping to bring you a different visual feast]","<br><br>Details <br><br>There is only one personalized keycap with SA R3 height in the package. They are all about the same height, about 12.4mm, which is generally used on the ESC key position, which can pass through light. It is an artwork keycap that combines all the mountains. <br><br>The keycap is made of resin by hand.It can let some light shine through as the image shown. <br><br>We made five colors, corresponding to different colors, each one is very comfortable, like a work of art. You can choose according to your liking. <br><br>Compatiability <br><br>It can be used for all Cherry MX Gateron MX Kailh MX and all other MX switches keyboard. <br><br>If you want it look better, please check the height of the keycap. If this keycap is the same height or little higher than yours, it will look better.",667,236.2204722
2404936,Bliss of Earth Combo Of Organic Whole Fennel Seed (400gm) And Organic Fenugreek Seed (700gm) For Cooking (Pack Of 2),"[Fenugreek seeds have a healthy nutritional profile, containing a good amount of fiber and minerals, including iron and magnesium.,Research suggests that fenugreek may increase breastmilk production and the rate of weight gain in newborn babies.,Fennel seed is a spice with a warm, aromatic flavor used in sweet and savory recipes around the globe, and particularly popular in Italian, Indian, and Middle Eastern cooking.,Fennel seed is often used in tadka or tempering of dishes by putting it in oil or ghee . It is ofeten used in the preparation of achar or pickles and chutneys]","Bliss of Earth Certified Organic Fennel Seeds popularly known as Saunf is one of the main culinary herb and is traditionally known to provide antioxidant, anti-inflammatory, and antibacterial effects. Bliss of Earth Certified Organic Fenugreek seed popularly known as Methi is one of the main culinary spice and is traditionally known to soothe upset stomach and maintain liver & kidney health.",0,196.8503935
393765,"Entropic Affirmation: On the Origins of Conflict in Change, Death, and Otherness",,,150,625.0
214678,Mary: Personalised Notebook / 120 Pages / Dot Grid / Perfect for journaling and writing notes.,,,14,600.0
